ts,volume,price,market_cap,symbol,freq,ret_1d,ret_3d,ret_7d,ret_14d,ret_30d,roll_mean_3,roll_std_3,roll_min_3,roll_max_3,roll_mean_7,roll_std_7,roll_min_7,roll_max_7,roll_mean_14,roll_std_14,roll_min_14,roll_max_14,roll_mean_30,roll_std_30,roll_min_30,roll_max_30,vol_7,vol_14,vol_30,rsi,macd,macd_signal,macd_hist,price_lag1,price_lag2,price_lag3,price_lag7,price_lag14,price_lag30,next_price,next_ret,y_drop2pct
2024-07-04 23:59:59.999000+00:00,54568.77276,57050.01,,BTCUSDT,daily,-0.05246046327616427,-0.09300446629641745,-0.07546145485230316,-0.12054850016163088,-0.19121410579059406,59798.01999999999,2567.4686927203647,57050.01,62135.47,60925.79714285715,2023.0769559234927,57050.01,62899.99,61626.20928571429,1884.7337942463678,57050.01,64262.01,64845.085,3631.2480472267252,57050.01,71108.0,0.02713249992932349,0.024366338725912037,0.0187684167091376,27.92158585532337,-1825.4495165848348,-1522.0073316935918,-303.44218489124296,60208.58,62135.47,62899.99,61706.47,64869.99,70537.84,56628.79,-0.007383346646214456,0
2024-07-05 23:59:59.999000+00:00,81348.24756,56628.79,,BTCUSDT,daily,-0.007383346646214428,-0.08862377640339725,-0.06286920068630608,-0.1171554868485628,-0.20362279912246162,57962.45999999999,1956.5653229318254,56628.79,60208.58,60383.07571428572,2604.8520573460855,56628.79,62899.99,61089.44,2162.3051508584012,56628.79,64262.01,64362.44466666666,3730.988856271977,56628.79,70799.06,0.026787980493707703,0.02435944188463929,0.018554526224758536,28.411230525701924,-2074.2026775080376,-1632.446400856481,-441.7562766515566,57050.01,60208.58,62135.47,60427.84,64143.56,71108.0,58230.13,0.0282778424190239,0
2024-07-06 23:59:59.999000+00:00,21651.31558,58230.13,,BTCUSDT,daily,0.02827784241902398,-0.03285993458075254,-0.04519921399230131,-0.09386385517664331,-0.17752961691864266,57302.976666666655,830.1003251009406,56628.79,58230.13,59989.282857142854,2704.836805259928,56628.79,62899.99,60658.59142857143,2080.938263615833,56628.79,63210.01,63943.48033333334,3688.7405119320524,56628.79,69648.14,0.029741916484037133,0.02618566889000909,0.01966217235056601,34.031864899265315,-2117.7148955816738,-1729.5000998015196,-388.2147957801542,56628.79,57050.01,60208.58,60986.68,64262.01,70799.06,55857.81,-0.040740420809639265,1
2024-07-07 23:59:59.999000+00:00,19118.93918,55857.81,,BTCUSDT,daily,-0.040740420809639244,-0.02089745470684412,-0.11014781906776605,-0.11631385598578459,-0.19461716141162366,56905.57666666665,1210.1378804635067,55857.81,58230.13,59001.54,2780.674343074294,55857.81,62899.99,60133.434285714284,2303.353040733286,55857.81,62899.99,63493.554000000004,3826.4569217980747,55857.81,69648.14,0.02751197933524065,0.027647593791984615,0.020498189321218958,31.808293529748255,-2316.917061929038,-1846.9834922270234,-469.93356970201467,58230.13,56628.79,57050.01,62772.01,63210.01,69355.6,56714.62,0.015339126256471654,0
2024-07-08 23:59:59.999000+00:00,48090.2049,56714.62,,BTCUSDT,daily,0.015339126256471713,0.0015156601438950368,-0.09833658161153913,-0.059354521978395636,-0.18173072289521675,56934.186666666654,1201.3045768799461,55857.81,58230.13,58117.91571428572,2271.543027296708,55857.81,62135.47,59877.81428571429,2476.328080123705,55857.81,62899.99,63073.69266666667,3857.104726406623,55857.81,69648.14,0.029377915464046663,0.026033008444098883,0.020872982245100365,40.14010621755092,-2378.234006367238,-1953.2335950550664,-425.00041131217176,55857.81,58230.13,56628.79,62899.99,60293.3,69310.46,58050.0,0.0235456042903928,0
2024-07-09 23:59:59.999000+00:00,27732.20788,58050.0,,BTCUSDT,daily,0.023545604290392763,-0.0030934157282492825,-0.06575101145931628,-0.06077095091561491,-0.16652476290106244,56874.14333333332,1104.7669525437097,55857.81,58050.0,57534.27714285714,1439.8425018228795,55857.81,60208.58,59609.52785714286,2454.726833105912,55857.81,62899.99,62687.087999999996,3755.3212106761584,55857.81,69540.0,0.03272186447157384,0.025903079565348493,0.021491530699351617,39.54941283771639,-2292.6459257263195,-2021.1160611893172,-271.52986453700237,56714.62,55857.81,58230.13,62135.47,61806.01,69648.14,57725.85,-0.0055839793281654,0
2024-07-10 23:59:59.999000+00:00,24951.73799,57725.85,,BTCUSDT,daily,-0.005583979328165345,0.033442771923926085,-0.04123548504216512,-0.05157546234707344,-0.16988999137187233,57496.82333333333,696.5269891631491,56714.62,58050.0,57179.60142857143,860.5346140700757,55857.81,58230.13,59385.30357142857,2474.5174413843333,55857.81,62899.99,62293.283,3629.238035054124,55857.81,68263.99,0.031277118481825815,0.02571354307665743,0.02147647685714135,40.955290760459306,-2225.320837751511,-2061.9570165017562,-163.3638212497549,58050.0,56714.62,55857.81,60208.58,60864.99,69540.0,57339.89,-0.006686086042907971,0
2024-07-11 23:59:59.999000+00:00,29761.05735,57339.89,,BTCUSDT,daily,-0.0066860860429079905,0.011024846856066306,0.005081155989280273,-0.07076373028630545,-0.14817592830283766,57705.24666666665,355.5030605109832,57339.89,58050.0,57221.01285714285,860.2337933117883,55857.81,58230.13,59073.40499999999,2434.3068576769233,55857.81,62899.99,61960.80466666666,3610.232252009021,55857.81,68263.99,0.02370989875665049,0.02523245909905877,0.02090763917180839,37.07954934151736,-2178.0023119848993,-2085.166075598385,-92.83623638651443,57725.85,58050.0,56714.62,57050.01,61706.47,67314.24,57889.1,0.009578148824491975,0
2024-07-12 23:59:59.999000+00:00,23652.4569,57889.1,,BTCUSDT,daily,0.009578148824491928,-0.002771748492678805,0.02225564063791574,-0.04201275438605778,-0.15198188678979951,57651.61333333332,282.0305267744565,57339.89,57889.1,57401.05714285715,847.419020628073,55857.81,58230.13,58892.06642857142,2420.167843580267,55857.81,62899.99,61614.975,3480.1913308765475,55857.81,66773.01,0.02358064794312831,0.025072726480848264,0.020779929654038368,42.149126821749924,-2072.2972298374443,-2082.5923064461967,10.295076608752424,57339.89,57725.85,58050.0,56628.79,60427.84,68263.99,59204.02,0.022714466108472896,0
2024-07-13 23:59:59.999000+00:00,15357.74519,59204.02,,BTCUSDT,daily,0.02271446610847283,0.025606725583079193,0.016724846741712485,-0.029230317177455833,-0.11335403331375948,58144.33666666665,957.9167402403239,57339.89,59204.02,57540.184285714284,1059.6015530819393,55857.81,59204.02,58764.73357142857,2347.2845016234223,55857.81,62899.99,61362.67533333333,3365.842337480634,55857.81,66676.87,0.02267851705693292,0.02581635349384809,0.02114369693928646,44.73352398284153,-1860.9700318035466,-2038.267851517667,177.29781971412035,57889.1,57339.89,57725.85,58230.13,60986.68,66773.01,60797.91,0.02692198941896187,0
